policy_number,premiums,premium_frequency,start_date,line_of_business,end_date,commission,reinsurance_premium,reinsurance_commission
EUCEBIA__DUBE_3,632.25,S,1/10/2022,Health,31/10/2022,0,0,0
RACHAEL__RAMUSHU_4,646.41,S,1/11/2022,Health,30/11/2022,0,0,0
EUCEBIA__DUBE_3,632.16,S,1/10/2022,Health,31/10/2022,0,0,0
PATRICIA__WADI_8,952.43,S,1/11/2022,Health,30/11/2022,0,0,0
CHRISTOPHER__CHAPASUKA_12,1256,S,1/10/2022,Health,31/10/2,0,0,0
MOSES__CHASWEKA_13,1278.62,S,1/11/2022,Health,30/11/2022,0,0,0
MOSES__CHASWEKA_13,1462.75,S,1/9/2022,Health,30/9/2022,0,0,0
MOSES__CHASWEKA_13,1462.75,S,1/9/2022,Health,222/9/2022,0,0,0
SIKHETHENI_MOYO_27,we,S,1/8/2022,Health,31/8/2022,0,0,0
EMELDA_TSITSI_MAHLANGU_28,1465.88,S,1/8/2022,Health,31/8/2022,0,0,0
SIPHIWE_MPOFU_29,2ee,S,1/22/1900,Health,31/8/2022,0,0,0
TRUST__MAHACHI_30,1865.6766,S,1/9/2022,Health,30/9/2022,0,0,0
MIKE_M.__NDLOVU_31,1697.5035,S,2/13/1900,Health,30/9/2022,0,0,0
MOSES__CHASWEKA_13,1896.7791,S,1/10/2022,Health,31/10/2022,0,0,0
MIKE_M.__NDLOVU_33,473,S,1/10/2022,Health,31/10/2022,0,0,0
SIKHETHENI__MOYO_34,1904.6604,S,1/11/2022,Health,30/11/2022,0,0,0
EMELDA_TSITSI_MAHLANGU_35,2018.1033,S,1/12/2022,Health,31/12/2022,0,0,0
TRUST_MAHACHI_36,1350,S,1/8/2022,Health,31/8/2022,0,0,0
TRUST_MAHACHI_37,1607.9577,S,1/8/2022,Health,31/8/2022,0,0,0
EMELDA_TSITSI__MAHLANGU_38,1812.5502,S,1/9/2022,Health,30/9/2022,0,0,0
EMELDA_TSITSI__MAHLANGU_39,1941.255,S,1/11/2022,Health,30/11/2022,0,0,0
EMELDA_TSITSI__MAHLANGU_40,1904.87,S,1/11/2022,Health,30/11/2022,0,0,0
TRUST_MAHACHI_41,1988.3832,S,1/12/2022,Health,31/12/2022,0,0,0
PATRICIA__WADI_42,1865.68,S,1/9/2022,Health,30/9/2022,0,0,0
JULIAS__SIBIYA_43,1697.5,S,1/9/2022,Health,30/9/2022,0,0,0
JULIAS__SIBIYA_44,1865.68,S,1/9/2022,Health,30/9/2022,0,0,0
LOICE__CHIMBOZA_45,1903.61,S,1/11/2022,Health,30/11/2022,0,0,0
COLLEN__KAPENDE_47,3.5,S,1/9/2022,Health,30/9/2022,0,0,0
COLLEN__KAPENDE_48,3.5,S,1/9/2022,Health,30/9/2022,0,0,0
COLLEN__KAPENDE_49,3.5,S,1/9/2022,Health,30/9/2022,0,0,0
COLLEN__KAPENDE_50,3.5,S,1/11/2022,Health,30/11/2022,0,0,0
COLLEN__KAPENDE_51,3.5,S,1/11/2022,Health,30/11/2022,0,0,0
COLLEN__KAPENDE_52,3.5,S,1/11/2022,Health,30/11/2022,0,0,0
BERNADETTE__CHIMUTI_MUTSWAGIWA_60,2547.21,S,1/11/2022,Health,30/11/2022,0,0,0
HAZVIPERI___MASVIKENI__61,2535.07,S,1/11/2022,Health,30/11/2022,0,0,0
MERCY_CHAITEZVI_62,2704.91,S,1/12/2022,Health,31/12/2022,0,0,0
MERCY_CHAITEZVI_63,2704.91,S,1/12/2022,Health,31/12/2022,0,0,0
MOSES__CHASWEKA_64,2458.49,S,1/9/2022,Health,30/9/2022,0,0,0
TATENDA__MURONDA_69,2845.17,S,1/10/2022,Health,31/10/2022,0,0,0
PATRICIA__WADI_70,2857.3,S,1/11/2022,Health,30/11/2022,0,0,0
LOVEMORE_MUGUNA_81,2275.06,S,1/8/2022,Health,31/8/2022,0,0,0
EUCEBIA__DUBE_82,3066.89,S,1/9/2022,Health,30/9/2022,0,0,0
MICHAEL__MANGWENDE_83,3161.3,S,1/1/1900,Health,31/10/2022,0,0,0
TRUST_SIMBARASHE___MAHACHI_84,3149.28,S,,Health,31/10/2022,0,0,0
SIKHETHENI__MOYO_85,3235.43,S,1/11/2022,Health,30/11/2022,0,0,0
RACHAEL__RAMUSHU_86,3232.06,S,1/11/2022,Health,30/11/2022,0,0,0
TRUST_SIMBARASHE___MAHACHI_87,3191.14,S,1/11/2022,Health,30/11/2022,0,0,0
LOVEMORE_MUGUNA_88,3274.82,S,1/12/2022,Health,31/12/2022,0,0,0
EDITH_TATENDA_MUTAPE_DHOKWANI_89,3293.69,S,1/12/2022,Health,31/12/2022,0,0,0
EDITH_TATENDA_MUTAPE_DHOKWANI_90,3293.69,S,1/12/2022,Health,31/12/2022,0,0,0
LOVEMORE__MUGUNA_91,2759.65,S,1/9/2022,Health,30/9/2022,0,0,0
PETER_CHAKANETSA__MASUKUSA_92,3073.1185,S,1/9/2022,Health,30/9/2022,0,0,0
