policy_number,date_of_premium_payment,amount,start_date,end_date,line_of_business,reinsurance_premium,reinsurance_commission,commission
EUCEBIA__DUBE_3,2022-10-01,632.2455,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
RACHAEL__RAMUSHU_4,2022-11-01,646.4123,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
MOSES__CHASWEKA_5,2022-10-01,632.1556,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
PATRICIA__WADI_8,2022-11-01,952.4343,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
CHRISTOPHER__CHAPASUKA_12,2022-10-01,1256.0006,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
MOSES__CHASWEKA_13,2022-11-01,1278.6246,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
EDITH_TATENDA__MUTAPE_DHOKWANI_17,2022-09-01,1462.7465,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
EDITH_TATENDA__MUTAPE_DHOKWANI_18,2022-09-01,1462.7465,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
SIKHETHENI_MOYO_27,2022-08-01,3.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
EMELDA_TSITSI_MAHLANGU_28,2022-08-01,1465.8807,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
SIPHIWE_MPOFU_29,2022-08-01,1584.1662,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
TRUST__MAHACHI_30,2022-09-01,1865.6766,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
MIKE_M.__NDLOVU_31,2022-09-01,1697.5035,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
TRUST__MAHACHI_32,2022-10-01,1896.7791,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
MIKE_M.__NDLOVU_33,2022-10-01,1898.3109,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
SIKHETHENI__MOYO_34,2022-11-01,1904.6604,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
EMELDA_TSITSI_MAHLANGU_35,2022-12-01,2018.1033,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
TRUST_MAHACHI_36,2022-08-01,1350.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
TRUST_MAHACHI_37,2022-08-01,1607.9577,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
EMELDA_TSITSI__MAHLANGU_38,2022-09-01,1812.5502,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
EMELDA_TSITSI__MAHLANGU_39,2022-11-01,1941.255,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
EMELDA_TSITSI__MAHLANGU_40,2022-11-01,1904.8686,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
TRUST_MAHACHI_41,2022-12-01,1988.3832,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
PATRICIA__WADI_42,2022-09-01,1865.6766,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
JULIAS__SIBIYA_43,2022-09-01,1697.5035,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
JULIAS__SIBIYA_44,2022-09-01,1865.6766,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
LOICE__CHIMBOZA_45,2022-11-01,1903.6101,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
COLLEN__KAPENDE_47,2022-09-01,3.5,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
COLLEN__KAPENDE_48,2022-09-01,3.5,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
COLLEN__KAPENDE_49,2022-09-01,3.5,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
COLLEN__KAPENDE_50,2022-11-01,3.5,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
COLLEN__KAPENDE_51,2022-11-01,3.5,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
COLLEN__KAPENDE_52,2022-11-01,3.5,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
BERNADETTE__CHIMUTI_MUTSWAGIWA_60,2022-11-01,2547.2064,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
HAZVIPERI___MASVIKENI__61,2022-11-01,2535.0724,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
MERCY_CHAITEZVI_62,2022-12-01,2704.912,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
MERCY_CHAITEZVI_63,2022-12-01,2704.912,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
MOSES__CHASWEKA_64,2022-09-01,2458.4948,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
TATENDA__MURONDA_69,2022-10-01,2845.16865,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
PATRICIA__WADI_70,2022-11-01,2857.3029,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
LOVEMORE_MUGUNA_81,2022-08-01,2275.0555,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
EUCEBIA__DUBE_82,2022-09-01,3066.885,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
MICHAEL__MANGWENDE_83,2022-10-01,3161.2985,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
TRUST_SIMBARASHE___MAHACHI_84,2022-10-01,3149.2775,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
SIKHETHENI__MOYO_85,2022-11-01,3235.425,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
RACHAEL__RAMUSHU_86,2022-11-01,3232.0615,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
TRUST_SIMBARASHE___MAHACHI_87,2022-11-01,3191.1385,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
LOVEMORE_MUGUNA_88,2022-12-01,3274.815,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
EDITH_TATENDA_MUTAPE_DHOKWANI_89,2022-12-01,3293.6865,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
EDITH_TATENDA_MUTAPE_DHOKWANI_90,2022-12-01,3293.6865,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
LOVEMORE__MUGUNA_91,2022-09-01,2759.6455,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
PETER_CHAKANETSA__MASUKUSA_92,2022-09-01,3073.1185,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
LOVEMORE__MUGUNA_93,2022-10-01,3109.8135,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
PETER_CHAKANETSA__MASUKUSA_94,2022-10-01,3154.6795,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
HAZVIPERI___MASVIKENI__95,2022-10-01,3116.1355,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
ABIGAIL__MUZHOMBWE_96,2022-10-01,3163.8515,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
LOVEMORE__MUGUNA_97,2022-11-01,3172.6835,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
EDITH_TATENDA__MUTAPE_DHOKWANI_98,2022-11-01,3168.8405,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
MOSES__CHASWEKA_99,2022-09-01,2799.387,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
PATRICIA__WADI_100,2022-09-01,3109.461,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
SIBUSISO_MOYO_101,2022-12-01,3361.0245,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
ROSEMARY__GANDE_102,2022-12-01,5.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
ZVIYEDZO_CHIMWARA_120,2022-08-01,6.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
CHIPO_MURUKO_121,2022-08-01,2792.349,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
TATENDA__MAHACHI_122,2022-08-01,2764.6446,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
EMMANUEL_J.__MWALE_123,2022-09-01,3359.2644,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
TINOTENDA__GWENZI_124,2022-09-01,3623.9412,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
EMMANUEL_J.__MWALE_125,2022-10-01,3731.7762,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
ZVIYEDZO_CHIMWARA_126,2022-12-01,6.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
LOICE_CHIMBOZA_127,2022-12-01,3940.7352,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
THENJIWE_JAMARE_128,2022-12-01,4033.2294,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
LOICE_CHIMBOZA_129,2022-12-01,4057.368,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
DALENE_CARLA_FRANSCH_130,2022-08-01,6.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
DALENE_CARLA_FRANSCH_131,2022-08-01,3215.9154,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
EMMANUEL_J._MWALE_132,2022-08-01,2764.6446,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
ZVIYEDZO__CHIMWARA_133,2022-09-01,6.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
LILLIAN__HLANYA_134,2022-09-01,3359.2644,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
CHIPO__MURUKO_135,2022-09-01,3359.2644,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
ZVIYEDZO__CHIMWARA_136,2022-10-01,6.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
CHIPO__MURUKO_137,2022-10-01,3761.1144,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
LILLIAN__HLANYA_138,2022-10-01,3773.9952,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
LILLIAN__HLANYA_139,2022-10-01,3773.9952,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
ZVIYEDZO__CHIMWARA_140,2022-11-01,6.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
PERCIVAL__SIZARA_141,2022-11-01,3807.2202,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
CHIPO__MURUKO_142,2022-11-01,3809.7372,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
EMMANUEL_J._MWALE_143,2022-12-01,4033.2294,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
EMMANUEL_J._MWALE_144,2022-12-01,4033.2294,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
MARTIN_MUNYEKI_145,2022-12-01,4049.0124,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
THENJIWE__JAMARE_146,2022-09-01,3395.007,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
THENJIWE__JAMARE_147,2022-10-01,3731.7762,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
THENJIWE__JAMARE_148,2022-11-01,3807.2202,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
SIBUSISO_MOYO_149,2022-12-01,4033.2294,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
ROSEMARY__GANDE_150,2022-12-01,6.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
ROSEMARY__GANDE_151,2022-12-01,6.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
LYDIA_SAVANHU_161,2022-08-01,7.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
BELINDA_MAHACHI_162,2022-08-01,3257.7405,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
LYDIA_SAVANHU_163,2022-12-01,7.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
BELINDA_MAHACHI_164,2022-12-01,4632.0043,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
LYDIA__SAVANHU_165,2022-09-01,7.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
BELINDA__MAHACHI_166,2022-09-01,3919.1418,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
LYDIA__SAVANHU_167,2022-10-01,7.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
BELINDA__MAHACHI_168,2022-10-01,4399.9354,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
LYDIA__SAVANHU_169,2022-11-01,7.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
BELINDA__MAHACHI_170,2022-11-01,4444.6934,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
ERICAH_MUZUVA_179,2022-08-01,7.5,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
ERICAH_MUZUVA_180,2022-12-01,7.5,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
ERICAH__MUZUVA_181,2022-09-01,7.5,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
ERICAH__MUZUVA_182,2022-10-01,7.5,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
ERICAH__MUZUVA_183,2022-11-01,7.5,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
SIPHIWE_MPOFU_189,2022-08-01,4224.4432,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
ABIGAIL__MAHACHI_190,2022-09-01,4975.1376,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
SIMBARASHE__CHIKWANDA_191,2022-09-01,4656.5,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
ABIGAIL__MAHACHI_192,2022-10-01,5058.0776,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
WARREN__ZIKHALI_193,2022-10-01,5015.5288,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
ABIGAIL_MAHACHI_194,2022-08-01,3766.4536,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
ABIGAIL_MAHACHI_195,2022-08-01,4287.8872,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
